entity	neighbors
__0_1	digit, cardinal
__1000000000000_1	large integer
__1000000000000_2	large integer
__1000000000_1	milliard
__1000_1	large integer
__11_november_1	nov, quarter day
__11_plus_1	examination
__12_1	large integer
__14_july_1	legal holiday, july
__15_minutes_1	time unit
__17_november_1	foreign terrorist organization
__1_chronicles_1	book, old testament, hagiographa, paralipomenon
__1_kings_1	book, nebiim
__1_samuel_1	old testament, nebiim
__1st_baron_beaverbrook_1	newspaper publisher, pol
__1st_baron_verulam_1	national leader, philosopher
__1st_class_mail_1	mail, correspondence
__2	monad
__24_hour_interval_1	dark, time unit, date, high noon, day, 60 minutes
__2_1	digit, brace
__2_chronicles_1	book, hagiographa, paralipomenon
__2_hydroxybenzoic_acid_1	acetylsalicylic acid, hydroxy acid, diflunisal
__2_kings_1	book
__2_samuel_1	nebiim
__30_minutes_1	time unit, 60 minutes
__3_1	digit
__3rd_october_organization_1	foreign terrorist organization, act of terrorism
__440_yards_1	linear unit, land mile
__60_minutes_1	quarter, sidereal hour, min, 30 minutes, 24 hour interval, time unit, man hour
__78_2	disc
__880_yards_1	linear unit, land mile
__9_3	sep, terrorist attack
___s_gravenhage_1	city, holland
__a_1	micromillimeter, micromicron
__a_2	fat soluble vitamin
__a_4	ribonucleic acid, deoxyribonucleic acid
__a_5	ma, abamp
__a_6	latin alphabet, alphabetic character
__a__testudineus_1	fish, anabas
__a_bomb_1	bomb, plutonium pit
__a_capella_singing_1	gospel, singing
__aachen_1	city, deutschland
__aaland_islands_1	gulf of bothnia, archipelago, finland
__aalborg_1	city, danmark
__aar_1	river, schweiz
__aardvark_1	genus orycteropus, eutherian
__aardwolf_1	genus proteles, hyaena
__aarhus_1	city, danmark
__ab_2	jewish calendar month, hebrew calendar
__ab_3	skeletal muscle, abdomen
__abalone_1	gastropod, genus haliotis
__abamp_1	a, current unit
__abandon_5	ditch, maroon
__abandonment_1	rejection, bolt
__abandonment_2	absence without leave, withdrawal
__abandonment_3	discard, disposal
__abase_1	degrade, crush
__abasement_1	humiliation
__abash_1	confuse, discomfit
__abatement_1	break
__abatement_of_a_nuisance_1	jurisprudence, abatement
__abb_1	act of terrorism
__abbess_1	superior, bride
__abbreviate_2	concentrate, bowdlerise
__abbreviation_1	descriptor
__abdias_2	book, nebiim
__abdicate_1	give up
__abdomen_1	ab, abdomen, abdominal aorta, bellybutton, abdominal wall, arteria colica, body part, body, hypochondrium
__abdomen_2	abdomen, bodily cavity
__abdominal_aorta_1	abdomen, aorta
__abdominal_delivery_1	hysterotomy, delivery
__abdominal_nerve_plexus_1	nerve plexus, sympathetic nervous system
__abdominal_wall_1	paries, abdomen
__abduct_1	crime, impress, seize
__abduction_2	motility, physiology
__abductor_1	criminal, captor
__abductor_2	skeletal muscle, musculus abductor digiti minimi manus, musculus abductor pollicis
__abelard_1	theologian, philosopher
__abelmoschus_1	abelmoschus esculentus, family malvaceae, abelmoschus moschatus
__abelmoschus_esculentus_1	okra, gumbo, abelmoschus
__abelmoschus_moschatus_1	mallow, abelmoschus
__aberrance_1	chromosomal aberration, deflection
__abhorrence_1	hate, disgust
__abidance_1	cooperation, formality
__abidance_2	occupancy, act
__abide_2	submit, allow, accept
__abide_by_1	obey, accommodate
__abide_by_2	accept
__abies_1	family pinaceae, gymnosperm genus, fir
__abila_1	foreland, pillars of hercules
__ability_2	know how, faculty, originality, creative thinking, accomplishment, superior skill
__abjuration_1	disavowal
__abkhas_1	abkhaz
__abkhaz_2	province, abkhas, georgia
__ablactation_1	commutation
__ablation_1	operation, vasectomy
__ablative_1	oblique, linguistics
__ablaze_2	lighted
__abnegation_2	forgoing, self sacrifice
__abnormal_1	vicarious
__abnormal_2	psychological science, exceptional
__abnormal_condition_1	infantilism, asynclitism, acardia, anomalousness, acephalia, cryptorchidism, dysplasia, squint, amastia
__abo_1	ethnic group, aussie
__abode_1	address, bath, dinette, kitchen, fireside, indian lodge, homestead, messuage, family room, dining room, house
__abolitionist_1	beecher, brown, sojourner truth, harriet beecher stowe
__abomasum_1	ruminant, breadbasket
__aboriginal_australian_1	austronesian
__aborticide_1	abortion pill
__abortion_1	conclusion, induced abortion
__abortion_pill_1	aborticide
__about_face_1	reversal
__about_face_2	change
__abradant_1	emery paper
__abrade_1	wear away
__abraham_lincoln_1	chief executive, attorney
__abraham_s_bosom_1	gospel according to luke, heaven
__abramis_1	fish genus, abramis brama
__abramis_brama_1	bream, abramis
__abrasion_1	lesion, graze
